time,desired_yaw,actual_yaw,w_command,v_command
1749758314.8511,-0.0000,0.0000,-0.0000,0.3000
1749758315.1366,-0.0000,0.0000,-0.0000,0.3000
1749758315.2517,0.0000,-0.0000,-0.0000,0.3000
1749758315.3703,0.0000,-0.0000,-0.0000,0.3000
1749758315.4888,0.0000,-0.0000,-0.0000,0.3000
1749758315.6040,0.0000,-0.0000,-0.0000,0.3000
1749758315.7212,0.0000,-0.0000,-0.0000,0.3000
1749758315.8439,0.0000,-0.0000,-0.0000,0.3000
1749758315.9642,0.0000,-0.0000,-0.0000,0.3000
1749758316.0930,0.0000,-0.0000,-0.0000,0.3000
1749758316.2351,0.0000,-0.0000,-0.0000,0.3000
1749758316.3594,0.0000,-0.0000,-0.0000,0.3000
1749758316.4870,0.0000,-0.0000,-0.0000,0.3000
1749758316.6185,0.0000,-0.0000,-0.0000,0.3000
1749758316.7615,0.0000,-0.0000,-0.0000,0.3000
1749758316.9010,0.0000,-0.0000,-0.0000,0.3000
1749758317.0532,0.0000,-0.0000,-0.0000,0.3000
1749758317.1773,0.0000,-0.0000,-0.0000,0.3000
1749758317.2987,0.0000,-0.0000,-0.0000,0.3000
1749758317.4242,0.0000,-0.0000,-0.0000,0.3000
1749758317.5531,0.0000,-0.0000,-0.0000,0.3000
1749758317.6788,0.0000,-0.0000,-0.0000,0.3000
1749758317.8129,0.0000,-0.0000,-0.0000,0.3000
1749758317.9361,0.0000,-0.0000,-0.0000,0.3000
1749758318.0627,0.0000,-0.0000,-0.0000,0.3000
1749758318.2124,0.0000,-0.0000,-0.0000,0.3000
1749758318.3302,0.0000,-0.0000,-0.0000,0.3000
1749758318.4545,0.0000,-0.0000,-0.0000,0.3000
1749758318.5758,0.0000,-0.0000,-0.0000,0.3000
1749758318.6964,0.0000,-0.0000,-0.0000,0.3000
1749758318.8194,0.0000,-0.0000,-0.0000,0.3000
1749758318.9364,0.0000,-0.0000,-0.0000,0.3000
1749758319.0789,0.0000,-0.0000,-0.0000,0.3000
1749758319.1978,0.0000,-0.0000,-0.0000,0.3000
1749758319.3156,0.0000,-0.0000,-0.0000,0.3000
1749758319.4336,0.0000,-0.0000,-0.0000,0.3000
1749758319.5509,0.0000,-0.0000,-0.0000,0.3000
1749758319.6725,0.0000,-0.0000,-0.0000,0.3000
1749758319.7976,0.0000,-0.0000,-0.0000,0.3000
1749758319.9146,0.0000,-0.0000,-0.0000,0.3000
1749758320.0368,0.0000,-0.0000,-0.0000,0.3000
1749758320.1538,0.0000,-0.0000,-0.0000,0.3000
1749758320.2753,0.0000,-0.0000,-0.0000,0.3000
1749758320.3904,0.0000,-0.0000,-0.0000,0.3000
1749758320.5060,0.0000,-0.0000,-0.0000,0.3000
1749758320.6238,0.0000,-0.0000,-0.0000,0.3000
1749758320.7487,0.0000,-0.0000,-0.0000,0.3000
1749758320.8723,0.0000,-0.0000,-0.0000,0.3000
1749758320.9971,-0.0057,-0.0000,-0.0000,0.3000
1749758321.1199,-0.0847,-0.0000,0.0341,0.3000
1749758321.2430,-0.5922,-0.0000,0.2369,0.3000
1749758321.3663,-1.9339,0.0005,0.7672,0.3000
1749758321.5002,-2.5735,0.0062,0.8000,-0.3000
1749758321.6275,-2.6332,0.0178,0.8000,-0.3000
1749758321.7712,-2.6633,0.0404,0.8000,-0.3000
1749758321.8932,-2.6958,0.0676,0.8000,-0.3000
1749758322.0136,-2.7284,0.1020,0.8000,-0.3000
1749758322.1382,-2.7620,0.1512,0.8000,-0.3000
1749758322.2663,-2.7986,0.2012,0.8000,-0.3000
