time,desired_yaw,actual_yaw,w_command,v_command
1749758406.3192,-0.0000,0.0000,0.0000,0.3000
1749758406.5876,-0.0000,0.0000,0.0000,0.3000
1749758406.7102,0.0000,-0.0000,0.0000,0.3000
1749758406.8315,0.0000,-0.0000,0.0000,0.3000
1749758406.9525,0.0000,-0.0000,0.0000,0.3000
1749758407.0829,0.0000,-0.0000,0.0000,0.3000
1749758407.2016,0.0000,-0.0000,0.0000,0.3000
1749758407.3318,0.0000,-0.0000,0.0000,0.3000
1749758407.4593,0.0000,-0.0000,0.0000,0.3000
1749758407.5880,0.0000,-0.0000,0.0000,0.3000
1749758407.7346,0.0000,-0.0000,0.0000,0.3000
1749758407.8619,0.0000,-0.0000,0.0000,0.3000
1749758407.9878,0.0000,-0.0000,0.0000,0.3000
1749758408.1126,0.0000,-0.0000,0.0000,0.3000
1749758408.2393,0.0000,-0.0000,0.0000,0.3000
1749758408.3804,0.0000,-0.0000,0.0000,0.3000
1749758408.5526,0.0000,-0.0000,0.0000,0.3000
1749758408.6787,0.0000,-0.0000,0.0000,0.3000
1749758408.8032,0.0000,-0.0000,0.0000,0.3000
1749758408.9277,0.0000,-0.0000,0.0000,0.3000
1749758409.0489,0.0000,-0.0000,0.0000,0.3000
1749758409.1869,0.0000,-0.0000,0.0000,0.3000
1749758409.3284,0.0000,-0.0000,0.0000,0.3000
1749758409.4513,0.0000,-0.0000,0.0000,0.3000
1749758409.5739,0.0000,-0.0000,0.0000,0.3000
1749758409.6959,0.0000,-0.0000,0.0000,0.3000
1749758409.8200,0.0000,-0.0000,0.0000,0.3000
1749758409.9409,0.0000,-0.0000,0.0000,0.3000
1749758410.0640,0.0000,-0.0000,0.0000,0.3000
1749758410.1913,0.0000,-0.0000,0.0000,0.3000
1749758410.3158,0.0000,-0.0000,0.0000,0.3000
1749758410.4598,0.0000,-0.0000,0.0000,0.3000
1749758410.6112,0.0000,-0.0000,0.0000,0.3000
1749758410.7327,0.0000,-0.0000,0.0000,0.3000
1749758410.8556,0.0000,-0.0000,0.0000,0.3000
1749758410.9938,0.0000,-0.0000,0.0000,0.3000
1749758411.1505,-0.0454,-0.0000,0.0000,0.3000
1749758411.2712,-0.3029,-0.0000,-0.1219,0.3000
1749758411.3946,-0.9812,-0.0000,-0.3897,0.3000
1749758411.5158,-2.0977,-0.0008,-0.8000,-0.3000
1749758411.6459,-2.2274,-0.0095,-0.8000,-0.3000
1749758411.7727,-2.2678,-0.0248,-0.8000,-0.3000
1749758411.9002,-2.2762,-0.0473,-0.8000,-0.3000
1749758412.0578,-2.2378,-0.0885,-0.8000,-0.3000
1749758412.1827,-2.1921,-0.1278,-0.7818,-0.3000
1749758412.3068,-2.1199,-0.1743,-0.7518,-0.3000
1749758412.4313,-2.0420,-0.2376,-0.7224,-0.3000
1749758412.5571,-1.9832,-0.2997,-0.7028,-0.3000
1749758412.6906,-1.8980,-0.3813,-0.6736,-0.3000
