time,desired_yaw,actual_yaw,w_command,v_command
1749758541.0204,-0.0716,0.0000,-0.0288,0.3000
1749758541.3381,-0.0716,0.0000,-0.0276,0.3000
1749758541.4485,-0.0587,-0.0056,-0.0215,0.3000
1749758541.5739,-0.0500,-0.0096,0.0024,0.3000
1749758541.6881,-0.0443,-0.0121,0.0016,0.3000
1749758541.8027,-0.0408,-0.0144,0.0010,0.3000
1749758541.9120,-0.0405,-0.0142,0.0006,0.3000
1749758542.0231,-0.0478,-0.0141,0.0003,0.3000
1749758542.1412,-0.0515,-0.0140,-0.0207,0.3000
1749758542.3120,-0.0572,-0.0139,-0.0222,0.3000
1749758542.4675,-0.0580,-0.0162,-0.0219,0.3000
1749758542.6278,-0.0632,-0.0197,-0.0236,0.3000
1749758542.7404,-0.0657,-0.0224,-0.0243,0.3000
1749758542.8532,-0.0682,-0.0246,-0.0250,0.3000
1749758542.9771,-0.0712,-0.0279,-0.0261,0.3000
1749758543.1071,-0.0764,-0.0309,-0.0280,0.3000
1749758543.2386,-0.0916,-0.0340,-0.0340,0.3000
1749758543.3997,-0.0962,-0.0388,-0.0355,0.3000
1749758543.5586,-0.1044,-0.0434,-0.0386,0.3000
1749758543.6725,-0.1155,-0.0476,-0.0428,0.3000
1749758543.7871,-0.1496,-0.0520,-0.0562,0.3000
1749758543.9030,-0.1779,-0.0568,-0.0669,0.3000
1749758544.0478,-0.2363,-0.0636,-0.0894,0.3000
1749758544.2023,-0.2857,-0.0737,-0.1077,0.3000
1749758544.3241,-0.3362,-0.0833,-0.1262,0.3000
1749758544.4786,-0.6863,-0.0969,-0.2652,0.3000
1749758544.6031,-0.9897,-0.1134,-0.3800,0.3000
1749758544.7336,-1.9962,-0.1296,-0.7752,0.3000
1749758544.8554,-2.3491,-0.1522,-0.8000,-0.0595
1749758544.9774,-2.5159,-0.1821,-0.8000,-0.3000
1749758545.0953,-2.6291,-0.2191,-0.8000,-0.3000
1749758545.2040,-2.6788,-0.2633,-0.8000,-0.3000
1749758545.3310,-2.7022,-0.3148,-0.8000,-0.3000
1749758545.4423,-2.7027,-0.3632,-0.8000,-0.3000
1749758545.5511,-2.6830,-0.4278,-0.8000,-0.3000
1749758545.6615,-2.6678,-0.4872,-0.8000,-0.3000
1749758545.7734,-2.6357,-0.5650,-0.8000,-0.3000
1749758545.8985,-2.5866,-0.6501,-0.8000,-0.3000
1749758546.0236,-2.5465,-0.7423,-0.8000,-0.3000
1749758546.1354,-2.5485,-0.8383,-0.8000,-0.3000
1749758546.2458,-2.5250,-0.9343,-0.8000,-0.3000
