time,desired_yaw,actual_yaw,w_command,v_command
1749758496.5180,-0.0870,0.0000,-0.0350,0.3000
1749758496.8026,-0.0870,0.0000,-0.0335,0.3000
1749758496.9175,-0.0741,-0.0060,-0.0273,0.3000
1749758497.0329,-0.0645,-0.0101,-0.0230,0.3000
1749758497.1852,-0.0543,-0.0144,-0.0188,0.3000
1749758497.2946,-0.0485,-0.0174,0.0029,0.3000
1749758497.4095,-0.0400,-0.0200,0.0018,0.3000
1749758497.5198,-0.0400,-0.0216,0.0011,0.3000
1749758497.6456,-0.0495,-0.0213,0.0005,0.3000
1749758497.7789,-0.0562,-0.0211,-0.0225,0.3000
1749758497.9245,-0.0636,-0.0209,-0.0247,0.3000
1749758498.0598,-0.0690,-0.0223,-0.0263,0.3000
1749758498.1867,-0.0829,-0.0251,-0.0314,0.3000
1749758498.3176,-0.0866,-0.0287,-0.0324,0.3000
1749758498.4395,-0.0929,-0.0322,-0.0345,0.3000
1749758498.5638,-0.1007,-0.0360,-0.0373,0.3000
1749758498.6931,-0.1091,-0.0400,-0.0404,0.3000
1749758498.8271,-0.1331,-0.0450,-0.0497,0.3000
1749758498.9585,-0.1505,-0.0504,-0.0562,0.3000
1749758499.0839,-0.1800,-0.0558,-0.0674,0.3000
1749758499.2141,-0.2398,-0.0620,-0.0906,0.3000
1749758499.3456,-0.2901,-0.0705,-0.1093,0.3000
1749758499.4826,-0.3713,-0.0811,-0.1402,0.3000
1749758499.6166,-0.4651,-0.0929,-0.1754,0.3000
1749758499.7810,-1.3801,-0.1152,-0.5406,0.3000
1749758499.9343,-1.9200,-0.1376,-0.7399,0.3000
1749758500.0642,-2.3981,-0.1644,-0.8000,0.0206
1749758500.1969,-2.6447,-0.1948,-0.8000,-0.3000
1749758500.3289,-2.7108,-0.2393,-0.8000,-0.3000
1749758500.4566,-2.7475,-0.2852,-0.8000,-0.3000
1749758500.5863,-2.7535,-0.3479,-0.8000,-0.3000
1749758500.7090,-2.7353,-0.4095,-0.8000,-0.3000
1749758500.8545,-2.7048,-0.4904,-0.8000,-0.3000
1749758500.9867,-2.6585,-0.5811,-0.8000,-0.3000
1749758501.1109,-2.6117,-0.6666,-0.8000,-0.3000
1749758501.2339,-2.5754,-0.7594,-0.8000,-0.3000
1749758501.3602,-2.5240,-0.8554,-0.8000,-0.3000
1749758501.4801,-2.5156,-0.9514,-0.8000,-0.3000
1749758501.6098,-2.4578,-1.0634,-0.8000,-0.3000
1749758501.7367,-2.4325,-1.1594,-0.8000,-0.3000
1749758501.8663,-2.3737,-1.2714,-0.8000,-0.3000
1749758502.0086,-2.3985,-1.3834,-0.8000,-0.3000
1749758502.1485,-2.3508,-1.4954,-0.8000,-0.3000
1749758502.3098,-2.3495,-1.6234,-0.8000,-0.3000
1749758502.4311,-2.3043,-1.7194,-0.8000,-0.3000
1749758502.5492,-2.2629,-1.8154,-0.8000,-0.3000
1749758502.6661,-2.2104,-1.9114,-0.8000,-0.3000
1749758502.7930,-2.2081,-2.0074,-0.8000,-0.3000
1749758502.9497,-2.1070,-2.1354,-0.8000,-0.3000
1749758503.0838,-2.0866,-2.2314,-0.8000,-0.3000
1749758503.2244,-1.9964,-2.3434,-0.7919,-0.3000
1749758503.3604,-1.9085,-2.4554,-0.7641,-0.3000
1749758503.4876,-1.8894,-2.5509,-0.7645,-0.3000
1749758503.6102,-1.8057,-2.6608,-0.7380,-0.3000
1749758503.7448,-1.7501,-2.7525,-0.7232,-0.3000
1749758503.8607,-1.6998,-2.8435,-0.7103,-0.3000
1749758503.9744,-1.6644,-2.9316,-0.7032,-0.3000
1749758504.0932,-1.6988,-3.0180,-0.7236,-0.3000
1749758504.2207,-1.6869,-3.1029,-0.7239,-0.3000
1749758504.3399,-1.6718,3.0952,-0.7225,-0.3000
1749758504.4560,-1.6706,3.0084,-0.7267,-0.3000
1749758504.5944,-1.7447,2.9071,-0.7607,-0.3000
1749758504.7102,-1.7692,2.8346,-0.7732,-0.3000
1749758504.8241,-1.7751,2.7472,-0.7781,-0.3000
1749758504.9366,-1.7763,2.6559,-0.7813,-0.3000
1749758505.0502,-1.7859,2.5784,-0.7881,-0.3000
1749758505.1700,-1.7869,2.4850,-0.7914,-0.3000
1749758505.2878,-1.8436,2.3910,-0.8000,-0.3000
1749758505.3999,-1.8297,2.2963,-0.8000,-0.3000
1749758505.5313,-1.8092,2.2010,-0.8000,-0.3000
1749758505.6442,-1.7877,2.1050,-0.8000,-0.3000
1749758505.7636,-1.7622,2.0090,-0.7972,-0.3000
1749758505.8893,-1.8057,1.9130,-0.8000,-0.3000
1749758506.0245,-1.7609,1.8011,-0.8000,-0.3000
1749758506.1463,-1.7384,1.7053,-0.7994,-0.3000
1749758506.2705,-1.7175,1.6093,-0.7953,-0.3000
1749758506.4106,-1.7606,1.4973,-0.8000,-0.3000
1749758506.5337,-1.7472,1.4017,-0.8000,-0.3000
1749758506.6596,-1.7214,1.2900,-0.8000,-0.3000
1749758506.7788,-1.7233,1.1940,-0.8000,-0.3000
1749758506.9084,-1.8202,1.0980,-0.8000,-0.3000
1749758507.0590,-1.7960,0.9700,-0.8000,-0.3000
1749758507.2053,-1.8983,0.8580,-0.8000,-0.3000
1749758507.3243,-1.9119,0.7620,-0.8000,-0.3000
1749758507.4401,-1.9316,0.6660,-0.8000,-0.3000
1749758507.5823,-1.9287,0.5540,-0.8000,-0.3000
1749758507.7020,-2.0651,0.4580,-0.8000,-0.3000
1749758507.8153,-2.1037,0.3780,-0.8000,-0.3000
1749758507.9305,-2.1268,0.2820,-0.8000,-0.3000
1749758508.0439,-2.1420,0.1860,-0.8000,-0.3000
1749758508.1595,-2.1766,0.1060,-0.8000,-0.3000
1749758508.2864,-2.1818,-0.0060,-0.8000,-0.3000
1749758508.4089,-2.2965,-0.1020,-0.8000,-0.3000
1749758508.5292,-2.3097,-0.1980,-0.8000,-0.3000
1749758508.6424,-2.3164,-0.2940,-0.8000,-0.3000
1749758508.7546,-2.3331,-0.3740,-0.8000,-0.3000
1749758508.9112,-2.3924,-0.5020,-0.8000,-0.3000
1749758509.0439,-2.3780,-0.6140,-0.8000,-0.3000
1749758509.1721,-2.3747,-0.7100,-0.8000,-0.3000
1749758509.2868,-2.3657,-0.8060,-0.8000,-0.3000
1749758509.4049,-2.4504,-0.9020,-0.8000,-0.3000
1749758509.5232,-2.4586,-0.9820,-0.8000,-0.3000
1749758509.6377,-2.4535,-1.0780,-0.8000,-0.3000
1749758509.7554,-2.4428,-1.1740,-0.8000,-0.3000
1749758509.8685,-2.4283,-1.2700,-0.8000,-0.3000
1749758510.0099,-2.4628,-1.3820,-0.8000,-0.3000
1749758510.1719,-2.3982,-1.5100,-0.8000,-0.3000
1749758510.3295,-2.3981,-1.6380,-0.8000,-0.3000
1749758510.4416,-2.3699,-1.7180,-0.8000,-0.3000
1749758510.5887,-2.2818,-1.8460,-0.8000,-0.3000
1749758510.7321,-2.2643,-1.9580,-0.8000,-0.3000
1749758510.8712,-2.1803,-2.0700,-0.8000,-0.3000
1749758510.9864,-2.1345,-2.1500,-0.8000,-0.3000
1749758511.1206,-2.0974,-2.2620,-0.8000,-0.3000
1749758511.2386,-2.0320,-2.3580,-0.8000,-0.3000
1749758511.3542,-1.9637,-2.4540,-0.8000,-0.3000
1749758511.4741,-1.9029,-2.5500,-0.8000,-0.3000
1749758511.5914,-1.8371,-2.6460,-0.8000,-0.3000
1749758511.7275,-1.8335,-2.7420,-0.8000,-0.3000
1749758511.8457,-1.7839,-2.8380,-0.8000,-0.3000
1749758511.9809,-1.7254,-2.9500,-0.8000,-0.3000
1749758512.0992,-1.6925,-3.0460,-0.8000,-0.3000
1749758512.2218,-1.7365,3.1412,-0.8000,-0.3000
1749758512.3398,-1.7305,3.0452,-0.8000,-0.3000
1749758512.4626,-1.7195,2.9492,-0.8000,-0.3000
1749758512.5759,-1.7272,2.8532,-0.8000,-0.3000
1749758512.6930,-1.7466,2.7732,-0.8000,-0.3000
1749758512.8139,-1.8335,2.6772,-0.8000,-0.3000
1749758512.9329,-1.8365,2.5812,-0.8000,-0.3000
1749758513.0528,-1.8345,2.4852,-0.8000,-0.3000
1749758513.1664,-1.8305,2.3892,-0.8000,-0.3000
1749758513.2844,-1.8182,2.2932,-0.8000,-0.3000
1749758513.4027,-1.8083,2.1972,-0.8000,-0.3000
1749758513.5189,-1.8644,2.1012,-0.8000,-0.3000
1749758513.6391,-1.8401,2.0052,-0.8000,-0.3000
1749758513.7638,-1.8127,1.9092,-0.8000,-0.3000
1749758513.8771,-1.8106,1.8292,-0.8000,-0.3000
1749758513.9967,-1.7860,1.7332,-0.8000,-0.3000
1749758514.1155,-1.8384,1.6372,-0.8000,-0.3000
1749758514.2366,-1.8274,1.5412,-0.8000,-0.3000
1749758514.3558,-1.8165,1.4452,-0.8000,-0.3000
1749758514.4765,-1.8073,1.3492,-0.8000,-0.3000
1749758514.6113,-1.7907,1.2372,-0.8000,-0.3000
1749758514.7238,-1.8937,1.1412,-0.8000,-0.3000
1749758514.8435,-1.9018,1.0452,-0.8000,-0.3000
1749758514.9603,-1.9281,0.9652,-0.8000,-0.3000
1749758515.0810,-1.9243,0.8532,-0.8000,-0.3000
1749758515.1953,-1.9546,0.7732,-0.8000,-0.3000
1749758515.3135,-1.9675,0.6772,-0.8000,-0.3000
1749758515.4281,-2.1049,0.5812,-0.8000,-0.3000
1749758515.5433,-2.1290,0.4852,-0.8000,-0.3000
1749758515.6633,-2.1500,0.3892,-0.8000,-0.3000
1749758515.7769,-2.1861,0.3092,-0.8000,-0.3000
1749758515.9050,-2.1929,0.1972,-0.8000,-0.3000
1749758516.0272,-2.3244,0.1012,-0.8000,-0.3000
1749758516.1470,-2.3347,0.0052,-0.8000,-0.3000
1749758516.2676,-2.3431,-0.0908,-0.8000,-0.3000
1749758516.3804,-2.3658,-0.1708,-0.8000,-0.3000
1749758516.4919,-2.3723,-0.2668,-0.8000,-0.3000
1749758516.6107,-2.3676,-0.3628,-0.8000,-0.3000
1749758516.7300,-2.4607,-0.4588,-0.8000,-0.3000
1749758516.8509,-2.4602,-0.5548,-0.8000,-0.3000
1749758516.9722,-2.4588,-0.6508,-0.8000,-0.3000
1749758517.0974,-2.4554,-0.7468,-0.8000,-0.3000
1749758517.2333,-2.5214,-0.8588,-0.8000,-0.3000
1749758517.3844,-2.4959,-0.9708,-0.8000,-0.3000
1749758517.4984,-2.4929,-1.0668,-0.8000,-0.3000
1749758517.6175,-2.4759,-1.1628,-0.8000,-0.3000
1749758517.7416,-2.5388,-1.2588,-0.8000,-0.3000
1749758517.8546,-2.5138,-1.3548,-0.8000,-0.3000
1749758517.9697,-2.4880,-1.4508,-0.8000,-0.3000
1749758518.0830,-2.4693,-1.5308,-0.8000,-0.3000
1749758518.1992,-2.4291,-1.6268,-0.8000,-0.3000
1749758518.3189,-2.3834,-1.7228,-0.8000,-0.3000
1749758518.4371,-2.3889,-1.8188,-0.8000,-0.3000
1749758518.5577,-2.3313,-1.9148,-0.8000,-0.3000
1749758518.6789,-2.2666,-2.0108,-0.8000,-0.3000
1749758518.7914,-2.2003,-2.1068,-0.8000,-0.3000
1749758518.9127,-2.1374,-2.2028,-0.8000,-0.3000
1749758519.0350,-2.1174,-2.2988,-0.8000,-0.3000
1749758519.1591,-2.0492,-2.3948,-0.8000,-0.3000
1749758519.2889,-1.9865,-2.4908,-0.8000,-0.3000
1749758519.3990,-1.9226,-2.5868,-0.8000,-0.3000
1749758519.5149,-1.8632,-2.6828,-0.8000,-0.3000
1749758519.6485,-1.8697,-2.7788,-0.8000,-0.3000
1749758519.7613,-1.8214,-2.8748,-0.8000,-0.3000
1749758519.8968,-1.7720,-2.9868,-0.8000,-0.3000
1749758520.0143,-1.7634,-3.0668,-0.8000,-0.3000
1749758520.1299,-1.8183,3.1204,-0.8000,-0.3000
1749758520.2473,-1.8139,3.0244,-0.8000,-0.3000
1749758520.3660,-1.8121,2.9284,-0.8000,-0.3000
1749758520.4877,-1.8175,2.8324,-0.8000,-0.3000
1749758520.6023,-1.8231,2.7364,-0.8000,-0.3000
1749758520.7166,-1.8421,2.6564,-0.8000,-0.3000
1749758520.8338,-1.9262,2.5604,-0.8000,-0.3000
1749758520.9463,-1.9225,2.4644,-0.8000,-0.3000
1749758521.0596,-1.9087,2.3684,-0.8000,-0.3000
1749758521.1756,-1.9140,2.2884,-0.8000,-0.3000
1749758521.2868,-1.8948,2.1924,-0.8000,-0.3000
1749758521.4038,-1.8796,2.0964,-0.8000,-0.3000
1749758521.5205,-1.8606,2.0004,-0.8000,-0.3000
1749758521.6400,-1.9024,1.9044,-0.8000,-0.3000
1749758521.7633,-1.8862,1.8084,-0.8000,-0.3000
1749758521.8897,-1.8606,1.7124,-0.8000,-0.3000
1749758522.0110,-1.8452,1.6164,-0.8000,-0.3000
1749758522.1318,-1.8286,1.5204,-0.8000,-0.3000
1749758522.2461,-1.9133,1.4244,-0.8000,-0.3000
1749758522.3735,-1.9158,1.3284,-0.8000,-0.3000
1749758522.5047,-1.9000,1.2164,-0.8000,-0.3000
1749758522.6236,-1.9084,1.1204,-0.8000,-0.3000
1749758522.7792,-2.0068,1.0084,-0.8000,-0.3000
1749758522.9315,-1.9848,0.8804,-0.8000,-0.3000
1749758523.0724,-2.1011,0.7684,-0.8000,-0.3000
1749758523.1919,-2.1234,0.6724,-0.8000,-0.3000
1749758523.3157,-2.1414,0.5764,-0.8000,-0.3000
1749758523.4535,-2.2632,0.4644,-0.8000,-0.3000
1749758523.5920,-2.2700,0.3524,-0.8000,-0.3000
1749758523.7349,-2.2715,0.2404,-0.8000,-0.3000
1749758523.8534,-2.3960,0.1444,-0.8000,-0.3000
1749758523.9744,-2.4074,0.0484,-0.8000,-0.3000
1749758524.0901,-2.4164,-0.0476,-0.8000,-0.3000
1749758524.2091,-2.4224,-0.1436,-0.8000,-0.3000
1749758524.3273,-2.4273,-0.2396,-0.8000,-0.3000
1749758524.4497,-2.5200,-0.3356,-0.8000,-0.3000
1749758524.5695,-2.5148,-0.4316,-0.8000,-0.3000
1749758524.6891,-2.5170,-0.5276,-0.8000,-0.3000
1749758524.8167,-2.5084,-0.6236,-0.8000,-0.3000
1749758524.9394,-2.5068,-0.7196,-0.8000,-0.3000
1749758525.0506,-2.5887,-0.8156,-0.8000,-0.3000
1749758525.1684,-2.5998,-0.8956,-0.8000,-0.3000
1749758525.2991,-2.5725,-1.0076,-0.8000,-0.3000
1749758525.4194,-2.5622,-1.1036,-0.8000,-0.3000
1749758525.5295,-2.5622,-1.1836,-0.8000,-0.3000
1749758525.6421,-2.5422,-1.2796,-0.8000,-0.3000
1749758525.7672,-2.5893,-1.3756,-0.8000,-0.3000
1749758525.8836,-2.5600,-1.4716,-0.8000,-0.3000
1749758525.9934,-2.5146,-1.5676,-0.8000,-0.3000
1749758526.1100,-2.4877,-1.6476,-0.8000,-0.3000
1749758526.2278,-2.4363,-1.7436,-0.8000,-0.3000
1749758526.3436,-2.3807,-1.8396,-0.8000,-0.3000
1749758526.4582,-2.3741,-1.9356,-0.8000,-0.3000
1749758526.5812,-2.3051,-2.0316,-0.8000,-0.3000
1749758526.7062,-2.2420,-2.1276,-0.8000,-0.3000
1749758526.8391,-2.1526,-2.2396,-0.8000,-0.3000
1749758526.9952,-2.0955,-2.3676,-0.8000,-0.3000
1749758527.1103,-2.0461,-2.4476,-0.8000,-0.3000
1749758527.2329,-1.9868,-2.5436,-0.8000,-0.3000
1749758527.3529,-1.9840,-2.6396,-0.8000,-0.3000
1749758527.4748,-1.9347,-2.7356,-0.8000,-0.3000
1749758527.6081,-1.8743,-2.8476,-0.8000,-0.3000
1749758527.7255,-1.8364,-2.9436,-0.8000,-0.3000
