time,desired_yaw,actual_yaw,w_command,v_command
1749757991.3949,-0.0000,0.0000,-0.0000,0.3000
1749757991.6712,-0.0000,0.0000,-0.0000,0.3000
1749757991.7908,0.0000,-0.0000,-0.0000,0.3000
1749757991.9110,0.0000,-0.0000,-0.0000,0.3000
1749757992.0356,0.0000,-0.0000,-0.0000,0.3000
1749757992.1619,0.0000,-0.0000,-0.0000,0.3000
1749757992.2899,0.0000,-0.0000,-0.0000,0.3000
1749757992.4204,0.0000,-0.0000,-0.0000,0.3000
1749757992.5512,0.0000,-0.0000,-0.0000,0.3000
1749757992.6789,0.0000,-0.0000,-0.0000,0.3000
1749757992.8259,0.0000,-0.0000,-0.0000,0.3000
1749757992.9854,0.0000,-0.0000,-0.0000,0.3000
1749757993.1124,0.0000,-0.0000,-0.0000,0.3000
1749757993.2312,0.0000,-0.0000,-0.0000,0.3000
1749757993.3547,0.0000,-0.0000,-0.0000,0.3000
1749757993.4762,0.0000,-0.0000,-0.0000,0.3000
1749757993.5942,0.0000,-0.0000,-0.0000,0.3000
1749757993.7204,0.0000,-0.0000,-0.0000,0.3000
1749757993.8522,0.0000,-0.0000,-0.0000,0.3000
1749757993.9764,0.0000,-0.0000,-0.0000,0.3000
1749757994.0995,0.0000,-0.0000,-0.0000,0.3000
1749757994.2272,0.0000,-0.0000,-0.0000,0.3000
1749757994.3571,0.0000,-0.0000,-0.0000,0.3000
1749757994.4847,0.0000,-0.0000,-0.0000,0.3000
1749757994.6112,0.0000,-0.0000,-0.0000,0.3000
1749757994.7337,0.0000,-0.0000,-0.0000,0.3000
1749757994.8594,0.0000,-0.0000,-0.0000,0.3000
1749757994.9852,0.0000,-0.0000,-0.0000,0.3000
1749757995.1135,0.0000,-0.0000,-0.0000,0.3000
1749757995.2375,0.0000,-0.0000,-0.0000,0.3000
1749757995.3663,0.0000,-0.0000,-0.0000,0.3000
1749757995.4912,0.0000,-0.0000,-0.0000,0.3000
1749757995.6635,0.0000,-0.0000,-0.0000,0.3000
1749757995.8072,0.0000,-0.0000,-0.0000,0.3000
1749757995.9343,0.0000,-0.0000,-0.0000,0.3000
1749757996.0657,0.0000,-0.0000,-0.0000,0.3000
1749757996.1961,0.0000,-0.0000,-0.0000,0.3000
1749757996.3203,0.0000,-0.0000,-0.0000,0.3000
1749757996.4413,0.0000,-0.0000,-0.0000,0.3000
1749757996.5621,0.0000,-0.0000,-0.0000,0.3000
1749757996.6798,0.0000,-0.0000,-0.0000,0.3000
1749757996.8015,0.0000,-0.0000,-0.0000,0.3000
1749757996.9337,0.0000,-0.0000,-0.0000,0.3000
1749757997.0595,0.0000,-0.0000,-0.0000,0.3000
1749757997.1798,0.0000,-0.0000,-0.0000,0.3000
1749757997.2958,0.0000,-0.0000,-0.0000,0.3000
1749757997.4146,0.0000,-0.0000,-0.0000,0.3000
1749757997.5313,0.0000,-0.0000,-0.0000,0.3000
1749757997.6504,0.0000,-0.0000,-0.0000,0.3000
1749757997.7888,-0.1315,-0.0000,0.0529,0.3000
1749757997.9118,-1.1027,-0.0000,0.4416,0.3000
1749757998.1035,-2.6315,0.0038,0.8000,-0.3000
1749757998.2274,-2.6991,0.0141,0.8000,-0.3000
1749757998.3700,-2.7520,0.0351,0.8000,-0.3000
1749757998.5174,-2.7824,0.0660,0.8000,-0.3000
1749757998.6474,-2.8231,0.1066,0.8000,-0.3000
1749757998.7719,-2.8420,0.1493,0.8000,-0.3000
1749757998.8949,-2.8801,0.1992,0.8000,-0.3000
1749757999.0169,-2.9120,0.2562,0.8000,-0.3000
1749757999.1457,-2.9521,0.3319,0.8000,-0.3000
1749757999.2780,-2.9538,0.4045,0.8000,-0.3000
1749757999.4036,-3.0087,0.4984,0.8000,-0.3000
1749757999.5306,-3.0410,0.5866,0.8000,-0.3000
1749757999.6530,-3.0709,0.6814,0.8000,-0.3000
1749757999.7772,-3.0524,0.7774,0.8000,-0.3000
1749757999.9003,-3.0920,0.8734,0.8000,-0.3000
1749758000.0484,3.1239,1.0014,-0.8000,-0.3000
1749758000.1751,-3.1125,1.0974,0.8000,-0.3000
1749758000.3004,3.1415,1.1927,-0.8000,-0.3000
1749758000.4272,3.1001,1.2980,-0.8000,-0.3000
1749758000.5487,3.0723,1.3916,-0.8000,-0.3000
1749758000.6698,3.1064,1.4795,-0.8000,-0.3000
1749758000.8106,3.0720,1.5730,-0.8000,-0.3000
1749758001.0004,3.0470,1.6787,-0.8000,-0.3000
1749758001.1222,3.0282,1.7402,-0.8000,-0.3000
1749758001.2423,2.9965,1.7945,-0.8000,-0.3000
1749758001.3937,3.0140,1.8557,-0.8000,-0.3000
1749758001.5290,3.0117,1.8932,-0.8000,-0.3000
1749758001.6578,2.9843,1.9279,-0.8000,-0.3000
1749758001.7906,2.9988,1.9498,-0.8000,-0.3000
1749758001.9225,2.9926,1.9662,-0.8000,-0.3000
1749758002.0589,2.9884,1.9729,-0.8000,-0.3000
1749758002.1877,2.9681,1.9708,-0.8000,-0.3000
1749758002.3136,2.9727,1.9592,-0.8000,-0.3000
1749758002.4621,2.9650,1.9379,-0.8000,-0.3000
1749758002.5945,2.9500,1.9067,-0.8000,-0.3000
1749758002.7191,2.9306,1.8722,-0.8000,-0.3000
1749758002.8463,2.9372,1.8305,-0.8000,-0.3000
1749758002.9765,2.9096,1.7728,-0.8000,-0.3000
1749758003.1104,2.8884,1.7155,-0.8000,-0.3000
1749758003.2333,2.8980,1.6510,-0.8000,-0.3000
1749758003.3557,2.9003,1.5666,-0.8000,-0.3000
1749758003.4856,2.8432,1.4865,-0.8000,-0.3000
1749758003.6218,2.8657,1.3840,-0.8000,-0.3000
1749758003.7518,2.8613,1.2890,-0.8000,-0.3000
1749758003.8815,2.8260,1.1770,-0.8000,-0.3000
1749758004.0357,2.8492,1.0650,-0.8000,-0.3000
1749758004.1573,2.8544,0.9690,-0.8000,-0.3000
1749758004.3009,2.7985,0.8410,-0.8000,-0.3000
1749758004.4501,2.8239,0.7290,-0.8000,-0.3000
1749758004.5730,2.7205,0.6330,-0.8000,-0.3000
1749758004.6999,2.7392,0.5210,-0.8000,-0.3000
1749758004.8252,2.7432,0.4250,-0.8000,-0.3000
1749758004.9492,2.7440,0.3290,-0.8000,-0.3000
1749758005.0718,2.7351,0.2330,-0.8000,-0.3000
1749758005.1947,2.5401,0.1370,-0.8000,-0.3000
1749758005.3155,2.2381,0.0410,-0.8000,-0.3000
1749758005.4475,1.3846,-0.0710,-0.5274,-0.3000
1749758005.5720,0.4006,-0.1670,-0.1569,-0.3000
1749758005.7010,0.1656,-0.2622,-0.0984,-0.3000
1749758005.8900,0.1564,-0.4067,-0.1243,-0.3000
1749758006.0136,0.1540,-0.4838,-0.1444,-0.3000
1749758006.1354,0.1514,-0.5537,-0.1582,-0.3000
1749758006.2627,0.1481,-0.6262,-0.1674,-0.3000
1749758006.3844,0.1451,-0.6805,-0.1737,-0.3000
1749758006.5068,0.1420,-0.7276,-0.1779,-0.3000
1749758006.6357,0.1388,-0.7675,-0.1805,-0.3000
1749758006.7648,0.1349,-0.8049,-0.1818,-0.3000
1749758006.8914,0.1316,-0.8293,-0.1827,-0.3000
1749758007.0500,0.1271,-0.8583,-0.1825,-0.3000
1749758007.1950,0.1231,-0.8838,-0.1822,-0.3000
1749758007.3227,0.1196,-0.9057,-0.1819,-0.3000
1749758007.4457,0.1161,-0.9276,-0.1814,-0.3000
1749758007.5904,0.1114,-0.9567,-0.1802,-0.3000
1749758007.7161,0.1078,-0.9785,-0.1794,-0.3000
1749758007.8374,0.1042,-1.0002,-0.1786,-0.3000
1749758007.9569,0.1006,-1.0218,-0.1777,-0.3000
1749758008.0750,0.0969,-1.0433,-0.1767,-0.3000
1749758008.2019,0.0933,-1.0647,-0.1757,-0.3000
1749758008.3825,0.0877,-1.0966,-0.1740,-0.3000
1749758008.5116,0.0834,-1.1212,-0.1727,-0.3000
1749758008.6411,0.0796,-1.1422,-0.1716,-0.3000
1749758008.7664,0.0758,-1.1630,-0.1706,-0.3000
1749758008.9421,0.0702,-1.1940,-0.1687,-0.3000
1749758009.0640,0.0663,-1.2145,-0.1676,-0.3000
1749758009.1884,0.0625,-1.2349,-0.1665,-0.3000
1749758009.3187,0.0580,-1.2584,-0.1651,-0.3000
1749758009.4757,0.0529,-1.2851,-0.1634,-0.3000
1749758009.6010,0.0490,-1.3050,-0.1425,-0.3000
1749758009.7312,0.0452,-1.3247,-0.1438,-0.3000
1749758009.8495,0.0413,-1.3436,-0.1446,-0.3000
1749758009.9746,0.0367,-1.3637,-0.1452,-0.3000
1749758010.1139,0.0322,-1.3839,-0.1457,-0.3000
1749758010.2322,0.0289,-1.3983,-0.1460,-0.3000
1749758010.3603,0.0244,-1.4187,-0.1462,-0.3000
1749758010.4877,0.0204,-1.4362,-0.1463,-0.3000
1749758010.6121,0.0165,-1.4537,-0.1464,-0.3000
1749758010.7357,0.0119,-1.4742,-0.1465,-0.3000
1749758010.8658,0.0080,-1.4918,-0.1465,-0.3000
1749758010.9933,0.0041,-1.5093,-0.1466,-0.3000
1749758011.1177,-0.0005,-1.5298,-0.1466,-0.3000
1749758011.2431,-0.0045,-1.5474,-0.1466,-0.3000
1749758011.4199,-0.0104,-1.5738,-0.1466,-0.3000
1749758011.5460,-0.0143,-1.5914,-0.1466,-0.3000
1749758011.6871,-0.0189,-1.6119,-0.1466,-0.3000
1749758011.8129,-0.0228,-1.6295,-0.1467,-0.3000
1749758011.9424,-0.0274,-1.6501,-0.1467,-0.3000
1749758012.0704,-0.0314,-1.6677,-0.1467,-0.3000
1749758012.2004,-0.0353,-1.6853,-0.1467,-0.3000
1749758012.3289,-0.0399,-1.7058,-0.1467,-0.3000
1749758012.4521,-0.0438,-1.7234,-0.1467,-0.3000
1749758012.5723,-0.0477,-1.7410,-0.1467,-0.3000
1749758012.7039,-0.0523,-1.7615,-0.1256,-0.3000
1749758012.8351,-0.0562,-1.7791,-0.1250,-0.3000
1749758012.9859,-0.0614,-1.8010,-0.1235,-0.3000
1749758013.1181,-0.0653,-1.8161,-0.1225,-0.3000
1749758013.2599,-0.0698,-1.8335,-0.1211,-0.3000
1749758013.3819,-0.0737,-1.8482,-0.1198,-0.3000
1749758013.5034,-0.0776,-1.8629,-0.1185,-0.3000
1749758013.6300,-0.0821,-1.8797,-0.1169,-0.3000
1749758013.8013,-0.0873,-1.8988,-0.1150,-0.3000
1749758013.9299,-0.0918,-1.9152,-0.1134,-0.3000
1749758014.0690,-0.0963,-1.9314,-0.1117,-0.3000
1749758014.1943,-0.1001,-1.9451,-0.1103,-0.3000
1749758014.3236,-0.1040,-1.9586,-0.1088,-0.3000
1749758014.4537,-0.1084,-1.9742,-0.1071,-0.3000
1749758014.5719,-0.1123,-1.9873,-0.1056,-0.3000
1749758014.7068,-0.1161,-2.0003,-0.1041,-0.3000
1749758014.8422,-0.1205,-2.0152,-0.1024,-0.3000
1749758014.9724,-0.1250,-2.0299,-0.1006,-0.3000
1749758015.1053,-0.1287,-2.0423,-0.0991,-0.3000
1749758015.2282,-0.1325,-2.0545,-0.0976,-0.3000
1749758015.3541,-0.1370,-2.0684,-0.0958,-0.3000
1749758015.4784,-0.1407,-2.0803,-0.0943,-0.3000
1749758015.5983,-0.1445,-2.0919,-0.0928,-0.3000
1749758015.7223,-0.1483,-2.1033,-0.0912,-0.3000
1749758015.8701,-0.1526,-2.1164,-0.0894,-0.3000
1749758015.9916,-0.1564,-2.1275,-0.0879,-0.3000
1749758016.1186,-0.1608,-2.1401,-0.0861,-0.3000
1749758016.2501,-0.1645,-2.1508,-0.0845,-0.3000
1749758016.3828,-0.1689,-2.1629,-0.0827,-0.3000
1749758016.5113,-0.1726,-2.1732,-0.0811,-0.3000
1749758016.6358,-0.1769,-2.1849,-0.0793,-0.3000
1749758016.7642,-0.1807,-2.1947,-0.0777,-0.3000
1749758016.9143,-0.1856,-2.2075,-0.0756,-0.3000
1749758017.0509,-0.1893,-2.2169,-0.0740,-0.3000
1749758017.1781,-0.1936,-2.2277,-0.0721,-0.3000
1749758017.3085,-0.1974,-2.2366,-0.0705,-0.3000
1749758017.4419,-0.2017,-2.2469,-0.0687,-0.3000
